Banner,Module,State,TC_ID,Iteration,Username,Password,Item_EAN,Card_number,Card_type,Card_status,Promotion_description,Instant_win_offer,Collectable_offer,Choice_offer,Redeem_amount,Scenario,Payment_method
SM,LPR,Inprogress,TC_018_VerifyInstantWinNotificationPointsReward&SavedPromotions,1,ATCash1,abcd1234,9315087192083;9315087192083;9339687023882,9.35311E+12,WRC,ACTIVE,Shop & Scan to Win,,,,,,Card
SM,LPR,Inprogress,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,1,ATCash1,abcd1234,9300677010670;9300677011523;9300677010663,9353105915450,WRC,ACTIVE,BUNCH OFFER;Shop & Scan to Win;WOW 10% OFFER,You have won $25 off an in-store shop. Complete purchase to redeem your prize. T&C's apply._Use now,,Market Day Mobile 10 percent off,,,Card
SM,LPR,Inprogress,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,2,ATCash1,abcd1234,9300633594176;9300633594176,,,,,,,,,,Card
SM,LPR,Inprogress,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,3,ATCash1,abcd1234,9315087192083;9315087192083;9339687023882,,,,,,,,,,Card
SM,LPR,Inprogress,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,4,ATCash1,abcd1234,8414775016975;8414775016975,,,,,,,,,,Card
SM,LPR,Inprogress,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,1,ATCash1,abcd1234,9300677010670;9300677011523;9300677010663,9353105915450,WRC,ACTIVE,BUNCH OFFER;Shop & Scan to Win;WOW 10% OFFER,You have won $25 off an in-store shop. Complete purchase to redeem your prize. T&C's apply._Save for later,,Market Day Mobile 10 percent off,,,Card
SM,LPR,Inprogress,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,2,ATCash1,abcd1234,9300633594176;9300633594176,,,,,,,,,,Card
SM,LPR,Inprogress,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,3,ATCash1,abcd1234,9315087192083;9315087192083;9339687023882,,,,,,,,,,Card
SM,LPR,Inprogress,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,4,ATCash1,abcd1234,8414775016975;8414775016975,,,,,,,,,,Card
SM,LPR,Inprogress,TC_022_VerifyOpenOffersForUnregisteredCard,1,ATCash1,abcd1234,9356044248337;9356044248337,9.34445E+12,WRC,Unregistered,Buy any Bonds product and get 10% off;New Price_Buy 2 Coke For $1;Buy Epson NX230 Printer to get Epson 91N Magenta Catridge Ink for free;Buy 5 KitKat get $5 off,,,,,,Card
SM,LPR,Inprogress,TC_022_VerifyOpenOffersForUnregisteredCard,2,ATCash1,abcd1234,9300602355692;9300602355692;9300602355692,,,,,,,,,,Card
SM,LPR,Inprogress,TC_022_VerifyOpenOffersForUnregisteredCard,3,ATCash1,abcd1234,8720077181786;9314020603921,,,,,,,,,,Card
SM,LPR,Inprogress,TC_022_VerifyOpenOffersForUnregisteredCard,4,ATCash1,abcd1234,9342937005316;9342937005316;9342937005316;9342937005316;9342937005316,,,,,,,,,,Card
SM,LPR,Inprogress,TC_001_Registeredcardlessthan1000points,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_002_Registeredcardmorethan2000points,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,10,,Card
SM,LPR,Inprogress,TC_003_SaleWithSFCCard,1,ATCash1,abcd1234,9313820016146;9315596003580,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,Customer has earned 2 Woolworths Bricks Home Packs Is the customer collecting Bricks Home Packs?_No,,,,Card
SM,LPR,Inprogress,TC_004_SaleWithQFFCard,1,ATCash1,abcd1234,9300624016571;9300624016571,<FILL_CARD_NUMBER>,WRC,ACTIVE,,You've won $25 off your next in-store shop in our Final Draw. Min spend $25. Complete purchase to save your prize. T&Cs apply._Yes,,,,,Card
SM,LPR,Inprogress,TC_005_SaleWithTemporaryCard,1,ATCash1,abcd1234,9314364336783;9319185002268,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_006_SaleWithSuspendedCard,1,ATCash1,abcd1234,9314364336783;9319185002268,<FILL_CARD_NUMBER>,WRC,Suspended Card,,,,,,,Card
SM,LPR,Inprogress,TC_007_SaleWithTerminatedCard,1,ATCash1,abcd1234,9314364336783;9319185002268,<FILL_CARD_NUMBER>,WRC,Terminated,,,,,,,Card
SM,LPR,Inprogress,TC_008_RegisteredcardOver2000points,1,ATCash1,abcd1234,9314364336783;9319185002268,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,"You've won 2,000 Everyday Rewards points. Complete purchase to collect these points. T&Cs apply._Yes",,,Card
SM,LPR,Inprogress,TC_009_SaleWithSFCCardOver2000points,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_010_SaleWithQFFCardOver2000points,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_011_SaleWithTemporaryCardOver2000points,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,Temporary card,,,,,,,Card
SM,LPR,Inprogress,TC_012_SaleWithLockedFundCardNotRedeemed,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,Locked Fund,,,,,,,Card
SM,LPR,Inprogress,TC_013_SaleWithTemporaryCardNotRedeemed,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,Temporary card,,,,,,,Card
SM,LPR,Inprogress,TC_014_VerifySequencesOfOfferNotAffected,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,SDC,ACTIVE,WOW 10% OFFER;Team Discount,,,Market Day Insurance 10 percentage off,,,Card
SM,LPR,Inprogress,TC_001_VerifyPointsFixedOfferForEligibleProducts,1,ATCash1,abcd1234,9349673003545;9349673003460;9349673003699,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Eligible,Card
SM,LPR,Inprogress,TC_001_VerifyPointsFixedOfferForEligibleProducts,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_002_VerifyPointsFixedOfferForBasketValue,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_002_VerifyPointsFixedOfferForBasketValue,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_003_VerifyPointsFixedOfferForBasketValueAndEligibleItem,1,ATCash1,abcd1234,9310653103388;9310653103388,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Eligible,Card
SM,LPR,Inprogress,TC_003_VerifyPointsFixedOfferForBasketValueAndEligibleItem,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,1,ATCash1,abcd1234,9339687023882;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,1,ATCash1,abcd1234,9339687023882,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,3,ATCash1,abcd1234,9339687023882;9315087192083;9315087192083;9315087192083;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,4,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_006_VerifyTieredSpendCampaignForEligibleArticles,1,ATCash1,abcd1234,9339687023882;9315087192083;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
SM,LPR,Inprogress,TC_006_VerifyTieredSpendCampaignForEligibleArticles,2,ATCash1,abcd1234,9339687200924;9339687200924,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,Ineligible,Card
SM,LPR,Inprogress,TC_006_VerifyTieredSpendCampaignForEligibleArticles,3,ATCash1,abcd1234,9339687023882;9315087192083;9315087192083,<FILL_CARD_NUMBER>,WRC,ACTIVE,,,,,,,Card
