Banner,Module,State,TC_ID,Iteration,Item_EAN,Item_type,Item_eligible_status,Card_number,Card_type,Card_status,Promotion_description,Instant_win_offer,Instant_win_offer_redeem,Choice_offer,Collectable_offer,Exciting_news_popup,Redeem_amount,Instant_win_notification,Notification_message
SM,LPR,Done,TC_001_Registeredcardlessthan1000points,1,9339687023882;9315087192083,,,9355215896056,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_002_Registeredcardmorethan2000points,1,9339687023882;9315087192083,,,9355215896056,WRC,ACTIVE,,,,,,,10,,
SM,LPR,Done,TC_003_SaleWithSFCCard,1,9313820016146;9315596003580,,,9355215896100,WRC,ACTIVE,,,,,Customer has earned 2 Woolworths Bricks Home Packs Is the customer collecting Bricks Home Packs?_No,,,,
SM,LPR,Done,TC_004_SaleWithQFFCard,1,9300624016571;9300624016571,,,9355215896056,WRC,ACTIVE,,You've won $25 off your next in-store shop in our Final Draw. Min spend $25. Complete purchase to save your prize. T&Cs apply._Yes,,,,,,,
SM,LPR,Done,TC_005_SaleWithTemporaryCard,1,9314364336783;9319185002268,,,9344450008836,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_006_SaleWithSuspendedCard,1,9314364336783;9319185002268,,,9353180804441,WRC,Suspended Card,,,,,,,,,
SM,LPR,Done,TC_007_SaleWithTerminatedCard,1,9314364336783;9319185002268,,,9353180804441,WRC,Terminated,,,,,,,,,
SM,LPR,Done,TC_008_RegisteredcardOver2000points,1,9314364336783;9319185002268,,,9355215896056,WRC,ACTIVE,,,,"You've won 2,000 Everyday Rewards points. Complete purchase to collect these points. T&Cs apply._Yes",,Exciting News! You've just earned.*to use on a future purchase._OK,,,
SM,LPR,Done,TC_009_SaleWithSFCCardOver2000points,1,9339687023882;9315087192083,,,9355215896100,WRC,ACTIVE,,,,,,Exciting News! You've just banked.*into your Christmas savings._OK,,,
SM,LPR,Done,TC_010_SaleWithQFFCardOver2000points,1,9339687023882;9315087192083,,,9355215896056,WRC,ACTIVE,,,,,,Exciting News! You've just converted.*Qantas Points to put towards your next holiday._OK,,,
SM,LPR,Done,TC_011_SaleWithTemporaryCardOver2000points,1,9339687023882;9315087192083,,,9344450008836,WRC,Temporary card,,,,,,Great news - you could save $.*off future shop! Join FREE before your card expires to enjoy your savings._OK,,,
SM,LPR,Done,TC_012_SaleWithLockedFundCardNotRedeemed,1,9339687023882;9315087192083,,,9353180804441,WRC,Locked Fund,,,,,,,,,
SM,LPR,Done,TC_013_SaleWithTemporaryCardNotRedeemed,1,9339687023882;9315087192083,,,9344450008836,WRC,Temporary card,,,,,,,,,
SM,LPR,Done,TC_014_VerifySequencesOfOfferNotAffected,1,9339687023882;9315087192083,,,9355164247497,SDC,ACTIVE,WOW 10% OFFER;Team Discount,,,Market Day Insurance 10 percentage off,,,,,
SM,LPR,Done,TC_001_VerifyPointsFixedOfferForEligibleProducts,1,9349673003545;9349673003460;9349673003699,,Eligible,9353180804441,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_001_VerifyPointsFixedOfferForEligibleProducts,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_002_VerifyPointsFixedOfferForBasketValue,1,9339687023882;9315087192083,,,9355215896056,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_002_VerifyPointsFixedOfferForBasketValue,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_003_VerifyPointsFixedOfferForBasketValueAndEligibleItem,1,9310653103388;9310653103388,,Eligible,9355215896100,WRC,ACTIVE,,,,,,,,,
